RSSI,SNR,BER,Distance,Interference,Channel_Quality
-67.52759286915825,7.405317153544786,0.026170568373590598,675.975964266809,0.5719958782835928,Poor
-32.95714161540503,21.676037895134325,0.024697879907199984,798.7145832194586,0.8054323292999863,Fair
-46.080363491315694,34.91783343505633,0.09062545805210367,257.963219804574,0.760160929790159,Fair
-54.080490948177804,29.288995456382448,0.02495461998495061,628.625358610929,0.15389990469377368,Fair
-80.6388815734538,32.26244591445799,0.027194972612863102,576.0285233123112,0.1492494697414739,Poor
-80.64032877982784,26.351334668428695,0.07593982624179638,834.5020730203884,0.2681743677449133,Poor
-86.51498326990803,27.6910625807141,0.044973984245054,907.0261898764479,0.3610747263410372,Poor
-38.02943125350389,33.96782606261277,0.07767105569551813,22.035203762612937,0.4084555814084826,Fair
-53.93309929540747,9.986720354367439,0.006536615756438525,677.2797198682048,0.6796972168333453,Poor
-47.51564533223727,19.57699854572562,0.04875711936733843,61.31744112853173,0.056680432165835404,Fair
-88.76493034225186,8.848377672784089,0.0033613600183282633,553.3700784265824,0.034672704226066386,Poor
-31.80540887028034,39.50672031986588,0.006265320345535452,294.75640175324145,0.391910562943909,Good
-40.05344155197469,37.76237358746453,0.0906437453344411,313.7088335269198,0.6971636921379805,Fair
-77.25965335930343,1.577072454740236,0.013924537111759517,359.428918417833,0.19343534295648257,Poor
-79.09050196757397,28.22300690062754,0.05324206822752171,625.079524559114,0.6415044812562517,Poor
-78.99572940879398,37.009932696626635,0.041109560260070656,340.7094660120815,0.25982813794029946,Poor
-71.74546542242774,7.223013805093341,0.03473433262588427,735.3720600843776,0.8860861088135163,Poor
-58.51461410206573,22.717809222105178,0.08998333456872726,410.48211171813097,0.8956899442666165,Fair
-64.08329888147306,36.619531903521676,0.0021823396775489503,77.66966830685904,0.2972872042813265,Fair
-72.52625158811749,1.3578391434319537,0.06637896861755892,785.9222440592662,0.2299937539632405,Poor
-53.28882631665723,27.896810689873597,0.09633944342135504,292.90074134677894,0.41130397206623126,Fair
-81.6303683608775,11.89396029490203,0.056016818346184195,438.43921080327,0.24053158518014872,Poor
-72.4713210878869,36.975847815061215,0.09368224620330919,688.5894443896825,0.6723838432917036,Fair
-68.0182894023785,38.842329806614714,0.005225787928602377,339.1315955772249,0.8260646845482855,Fair
-62.635800946977845,37.770659564537354,0.04187933190741614,66.01979958524848,0.673092130911217,Fair
-42.889442316419185,18.96856866629855,0.026015779096205116,380.18183654268546,0.8243504472493495,Fair
-78.01957307049841,34.481706039572536,0.07308209649807298,945.0040968673604,0.39699216220747413,Poor
-59.1459336951833,33.78197594140281,0.09812970904972468,645.3170533255726,0.15631697070886086,Fair
